tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row href	hidden-desktop	hidden-phone	hidden-phone 2	utc	utc 2	hidden-phone 3	utc 3	utc 4	hidden-phone 4
1	1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF	https://bitinfocharts.com/bitcoin/address/1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF	79,957 BTC ($7,132,279,846) 663 0	79,957 BTC ($7,132,279,846)	0.4007%	2011-03-01 18:26:19	2025-11-28 01:38:13	663			
2	1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC	https://bitinfocharts.com/bitcoin/address/1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC	53,880 BTC ($4,806,163,573) 226 0	53,880 BTC ($4,806,163,573)	0.27002%	2014-05-28 06:49:42	2025-11-13 18:56:00	226			
3	1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA	https://bitinfocharts.com/bitcoin/address/1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA	51,830 BTC ($4,623,331,136) 153 0	51,830 BTC ($4,623,331,136)	0.25975%	2018-01-07 22:45:18	2025-11-04 03:15:11	153			
4	12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr	https://bitinfocharts.com/bitcoin/address/12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr	31,000 BTC ($2,765,242,250) 217 4	31,000 BTC ($2,765,242,250)	0.15536%	2010-05-13 16:22:38	2025-12-04 23:34:52	217	2010-06-02 18:57:07	2010-07-25 07:35:23	4
5	12tkqA9xSoowkzoERHMWNKsTey55YEBqkv	https://bitinfocharts.com/bitcoin/address/12tkqA9xSoowkzoERHMWNKsTey55YEBqkv	28,151 BTC ($2,511,106,756) 189 0	28,151 BTC ($2,511,106,756)	0.14108%	2010-04-06 06:47:07	2025-12-04 09:43:07	189			
6	17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn	https://bitinfocharts.com/bitcoin/address/17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn	20,008 BTC ($1,784,736,806) 103 1	20,008 BTC ($1,784,736,806)	0.10027%	2017-03-28 21:59:19	2025-11-17 20:02:34	103	2017-03-28 22:04:55	2017-03-28 22:04:55	1
7	1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW	https://bitinfocharts.com/bitcoin/address/1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW	19,414 BTC ($1,731,789,542) 136 0	19,414 BTC ($1,731,789,542)	0.097295%	2010-07-24 20:16:11	2025-11-17 20:02:34	136			
8	1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG	https://bitinfocharts.com/bitcoin/address/1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG	15,746 BTC ($1,404,521,964) 95 1	15,746 BTC ($1,404,521,964)	0.078909%	2018-01-23 01:05:59	2025-10-13 05:38:57	95	2018-01-23 06:14:04	2018-01-23 06:14:04	1
9	1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC	https://bitinfocharts.com/bitcoin/address/1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC	10,771 BTC ($960,744,161) 119 0	10,771 BTC ($960,744,161)	0.053976%	2011-08-09 06:14:47	2025-09-23 21:28:04	119			
10	1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT	https://bitinfocharts.com/bitcoin/address/1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT	10,000 BTC ($892,013,708) 63 0	10,000 BTC ($892,013,708)	0.050115%	2017-10-17 07:18:28	2025-10-13 07:18:53	63			
